sale,date,item,quantity,total
0,Monday 5th of May 2003,Xerox 1974,4,19.12
0,Monday 5th of May 2003,Rogers Deluxe File Chest,6,131.88
0,Monday 5th of May 2003,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood,3,20.94
1,Saturday 10th of January 2004,Xerox 1957,6,31.08
2,Sunday 29th of August 2004,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,5,15.15
2,Sunday 29th of August 2004,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  3/Pack,3,20.97
3,Tuesday 3rd of September 2002,Cisco SPA 501G IP Phone,6,426.96
3,Tuesday 3rd of September 2002,Acco D-Ring Binder w/DublLock,1,17.1
4,Friday 20th of June 2003,3M Hangers With Command Adhesive,5,14.8
4,Friday 20th of June 2003,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,2,159.04
5,Sunday 16th of April 2000,Global Value Steno Chair  Gray,8,388.72
5,Sunday 16th of April 2000,Adams Phone Message Book  200 Message Capacity  8 1/16  x 11 ,3,20.64
6,Wednesday 13th of June 2001,OSullivan 4-Shelf Bookcase in Odessa Pine,1,102.83
6,Wednesday 13th of June 2001,Ibico Standard Transparent Covers,2,32.96
6,Wednesday 13th of June 2001,Global Geo Office Task Chair  Gray,2,129.56
6,Wednesday 13th of June 2001,Self-Adhesive Address Labels for Typewriters by Universal,6,43.86
6,Wednesday 13th of June 2001,Staple envelope,5,22.3
7,Saturday 31st of May 2003,Hon 5100 Series Wood Tables,1,232.78
7,Saturday 31st of May 2003,Lenovo 17-Key USB Numeric Keypad,1,27.19
7,Saturday 31st of May 2003,Avery 489,8,66.24
7,Saturday 31st of May 2003,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,9,179.91
7,Saturday 31st of May 2003,OIC Colored Binder Clips  Assorted Sizes,5,14.3
8,Tuesday 30th of October 2001,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,9,1151.91
8,Tuesday 30th of October 2001,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,1,63.94
8,Tuesday 30th of October 2001,Global Low Back Tilter Chair,2,161.56
8,Tuesday 30th of October 2001,Economy Binders,9,3.78
9,Friday 18th of August 2000,Square Credit Card Reader,2,15.98
9,Friday 18th of August 2000,Wilson Jones  Snap  Scratch Pad Binder Tool for Ring Binders,1,5.8
10,Friday 2nd of August 2002,Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer  Copier  Scanner,10,3359.9
10,Friday 2nd of August 2002,Bush Advantage Collection Round Conference Table,5,584.65
